"","Year","Data.Value"
"572",2015,304
"573",2015,285
"574",2016,285
"575",2016,288
"576",2016,295
"577",2016,299
"578",2016,306
"579",2016,301
"580",2016,315
"581",2016,320
"582",2016,317
"583",2016,326
"584",2016,331
"585",2016,347
"586",2017,354
"587",2017,355
"588",2017,349
"589",2017,357
"590",2017,356
"591",2017,363
"592",2017,365
"593",2017,369
"594",2017,371
"595",2015,223
"596",2015,212
"597",2015,212
"598",2015,202
"599",2015,194
"600",2015,189
"601",2015,187
"602",2015,181
"603",2015,180
"604",2015,184
"605",2015,178
"606",2015,168
"607",2016,164
"608",2016,167
"609",2016,170
"610",2016,169
"611",2016,168
"612",2016,159
"613",2016,161
"614",2016,158
"615",2016,159
"616",2016,156
"617",2016,154
"618",2016,158
"619",2017,157
"620",2017,155
"621",2017,160
"622",2017,163
"623",2017,162
"624",2017,163
"625",2017,164
"626",2017,161
"627",2017,152
"628",2015,413
"629",2015,405
"630",2015,403
"631",2015,388
"632",2015,380
"633",2015,375
"634",2015,380
"635",2015,378
"636",2015,369
"637",2015,376
"638",2015,366
"639",2015,353
"640",2016,338
"641",2016,347
"642",2016,358
"643",2016,363
"644",2016,363
"645",2016,354
"646",2016,354
"647",2016,349
"648",2016,350
"649",2016,339
"650",2016,347
"651",2016,356
"652",2017,359
"653",2017,351
"654",2017,352
"655",2017,356
"656",2017,353
"657",2017,349
"658",2017,356
"659",2017,346
"660",2017,333
"661",2015,67
"662",2015,61
"663",2015,59
"664",2015,56
"665",2015,57
"666",2015,61
"667",2015,59
"668",2015,60
"669",2015,57
"670",2015,57
"671",2015,48
"672",2015,41
"673",2016,39
"674",2016,44
"675",2016,47
"676",2016,48
"677",2016,56
"678",2016,57
"679",2016,56
"680",2016,58
"681",2016,60
"682",2016,62
"683",2016,70
"684",2016,78
"685",2017,82
"686",2017,79
"687",2017,81
"688",2017,79
"689",2017,71
"690",2017,69
"691",2017,76
"692",2017,76
"693",2017,75
"694",2015,231
"695",2015,224
"696",2015,226
"697",2015,230
"698",2015,236
"699",2015,242
"700",2015,237
"701",2015,247
"702",2015,246
"703",2015,250
"704",2015,254
"705",2015,271
"706",2016,272
"707",2016,277
"708",2016,279
"709",2016,278
"710",2016,265
"711",2016,266
"712",2016,271
"713",2016,269
"714",2016,264
"715",2016,265
"716",2016,253
"717",2016,240
"718",2017,231
"719",2017,220
"720",2017,223
"721",2017,222
"722",2017,225
"723",2017,231
"724",2017,234
"725",2017,234
"726",2017,238
"727",2015,394
"728",2015,383
"729",2015,383
"730",2015,390
"731",2015,397
"732",2015,412
"733",2015,411
"734",2015,423
"735",2015,422
"736",2015,428
"737",2015,427
"738",2015,446
"739",2016,443
"740",2016,454
"741",2016,456
"742",2016,454
"743",2016,444
"744",2016,446
"745",2016,459
"746",2016,460
"747",2016,454
"748",2016,451
"749",2016,444
"750",2016,423
"751",2017,424
"752",2017,406
"753",2017,411
"754",2017,414
"755",2017,414
"756",2017,419
"757",2017,417
"758",2017,420
"759",2017,420
"760",2015,31
"761",2015,30
"762",2015,30
"763",2015,29
"764",2015,28
"765",2015,30
"766",2015,30
"767",2015,35
"768",2015,36
"769",2015,37
"770",2015,35
"771",2015,36
"772",2016,37
"773",2016,38
"774",2016,39
"775",2016,43
"776",2016,46
"777",2016,44
"778",2016,47
"779",2016,50
"780",2016,52
"781",2016,50
"782",2016,52
"783",2016,50
"784",2017,48
"785",2017,53
"786",2017,52
"787",2017,51
"788",2017,51
"789",2017,58
"790",2017,56
"791",2017,57
"792",2017,60
"793",2015,431
"794",2015,422
"795",2015,412
"796",2015,431
"797",2015,432
"798",2015,434
"799",2015,446
"800",2015,465
"801",2015,469
"802",2015,465
"803",2015,472
"804",2015,479
"805",2016,479
"806",2016,500
"807",2016,520
"808",2016,522
"809",2016,537
"810",2016,543
"811",2016,547
"812",2016,549
"813",2016,562
"814",2016,576
"815",2016,578
"816",2016,586
"817",2017,587
"818",2017,575
"819",2017,579
"820",2017,573
"821",2017,560
"822",2017,559
"823",2017,546
"824",2017,532
"825",2017,517
"826",2015,1172
"827",2015,1178
"828",2015,1198
"829",2015,1257
"830",2015,1285
"831",2015,1310
"832",2015,1348
"833",2015,1384
"834",2015,1413
"835",2015,1413
"836",2015,1445
"837",2015,1452
"838",2016,1499
"839",2016,1571
"840",2016,1621
"841",2016,1644
"842",2016,1673
"843",2016,1713
"844",2016,1752
"845",2016,1785
"846",2016,1813
"847",2016,1854
"848",2016,1880
"849",2016,1928
"850",2017,1947
"851",2017,1940
